Address,Latitude,Longitude,APC,LP,PDP,NNPP
"ARIRI ONWU/OJOTO VI, OGBARU, ANAMBRA",6.120145,6.7899171,0,82,2,0
"UMUOBOM HALL VI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,103,0,0
"CO-OPERATIVE ROAD VI, OGBARU, ANAMBRA",5.9213455,6.7279918,0,51,0,2
"CO-OPERATIVE ROAD VII, OGBARU, ANAMBRA",5.9213455,6.7279918,0,72,1,0
"CO-OPERATIVE ROAD VIII, OGBARU, ANAMBRA",5.9213455,6.7279918,1,58,3,1
"CO-OPERATIVE ROAD IX, OGBARU, ANAMBRA",5.9213455,6.7279918,0,51,3,1
"ARIRI ONWU/OJOTO VII, OGBARU, ANAMBRA",6.120145,6.7899171,0,66,2,1
"O.C.P.S III I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,109,2,3
"SHOW LIGHT II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,189,2,0
"MKPIKPA LAYOUT II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,178,0,0
"UZOIGWE SQUARE IV, OGBARU, ANAMBRA",6.2208997,6.9369559,1,52,1,0
"MKPIKPA LAYOUT IV, OGBARU, ANAMBRA",6.2208997,6.9369559,0,158,1,2
"MKPIKPA LAYOUT V, OGBARU, ANAMBRA",6.2208997,6.9369559,2,150,2,5
"OTUMOYE PRY. SCHOOL I, OGBARU, ANAMBRA",6.1469507,6.7765828,0,165,1,0
"G.C.M. I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,123,0,0
"STARLITE STREET I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,152,0,0
"OGBOEFERE CIVIC HALL, OGBARU, ANAMBRA",6.2208997,6.9369559,0,153,2,2
"OGBOEFERE HALL I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,152,0,0
"WATER SIDE I, OGBARU, ANAMBRA",6.2208997,6.9369559,1,112,1,2
"AMIRI TOWN HALL II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,146,0,0
"OTUMOYE PRY. SCHOOL II, OGBARU, ANAMBRA",6.1469507,6.7765828,0,185,1,1
"ISUKWUATO STREET II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,86,2,0
"FESTAC III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,0,0,0
"UNITY PRY. SCHOOL II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,60,0,0
"G.C.M. II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,105,0,1
"G.C.M. III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,69,0,0
"OGBOEFERE II, OGBARU, ANAMBRA",6.2208997,6.9369559,2,108,0,1
"OGBOEFERE III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,153,0,0
"OTUMOYE PRY. SCHOOL III, OGBARU, ANAMBRA",6.1469507,6.7765828,0,173,2,0
"KARA II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,106,2,2
"G.C.M. IV, OGBARU, ANAMBRA",6.2208997,6.9369559,1,147,0,0
"SUB-URBAN/ISUKWUATO STREET I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,119,0,1
"WATERSIDE II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,97,0,0
"ST. RAPHAEL'S ROAD, OGBARU, ANAMBRA",5.9213455,6.7279918,0,59,0,0
"FORTUNE PRESS I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,85,1,1
"OGBOEFERE IV, OGBARU, ANAMBRA",6.2208997,6.9369559,0,184,0,0
"FESTAC/KARA, OGBARU, ANAMBRA",6.2208997,6.9369559,0,192,0,2
"C.P.S. UMUNANKWO, OGBARU, ANAMBRA",5.925429,6.7159532,2,145,8,0
"UKWUOJI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,13,0,0
"C.P.S MPUTU, OGBARU, ANAMBRA",6.2208997,6.9369559,0,98,0,0
"UMUEZEOHOBI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,124,8,3
"ABOLO/UKWUOJI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,7,7,0
"ODUMALA/MPUTU C.P.S, OGBARU, ANAMBRA",6.2208997,6.9369559,1,62,3,0
"AGUDIBE/UKWUOFOR, OGBARU, ANAMBRA",6.2208997,6.9369559,0,0,0,0
"C.P.S., ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,240,1,1
"ALL SAINTS PRIMARY SCHOOL II , ONITSHA-NORTH, ANAMBRA",6.1550253,6.7914073,0,239,5,1
"NEW BETHEL PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.157141,6.7819658,0,130,1,0
"OPEN SPACE BESIDE 15 O'CONOR STREET II, ONITSHA-NORTH, ANAMBRA",6.1546314,6.7877801,3,206,3,0
"2/4 OKOLO STREET, ONITSHA-NORTH, ANAMBRA",6.1543099,6.7855075,1,373,5,3
"2, ORANYE STREET I, ONITSHA-NORTH, ANAMBRA",6.152944,6.7841105,3,206,3,1
"NEW AMERICAN/OLD HOSPITAL II, ONITSHA-NORTH, ANAMBRA",6.1544031,6.7849047,1,149,4,0
"OPPOSITE HIGH COURT, ONITSHA-NORTH, ANAMBRA",6.1568407,6.7860425,1,141,4,0
"NEW BETHEL PRY. SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.157141,6.7819658,2,174,1,2
"NEW AMERICAN /OLD HOSPITAL I, ONITSHA-NORTH, ANAMBRA",6.1544031,6.7849047,0,254,2,0
"O'CONOR STREET, ONITSHA-NORTH, ANAMBRA",6.1551429,6.7864508,1,244,0,0
"PREMIER PRY. SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,107,0,0
"ALL SAINTS PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1550253,6.7914073,0,240,5,1
"2, ORANYE STREET II, ONITSHA-NORTH, ANAMBRA",6.152944,6.7841105,3,213,1,1
"INTERNAL REVENUE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,181,1,0
"INTERNAL REVENUE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,172,1,0
"ADESA/RESIDENCY DRIVE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,184,1,1
"NIGER DRIVE/OMATA I, ONITSHA-NORTH, ANAMBRA",6.1612494,6.7928631,1,343,3,0
"ROCK FOUNDATION I, ONITSHA-NORTH, ANAMBRA",6.1623411,6.7928078,0,247,0,0
"ROCK FOUNDATION II, ONITSHA-NORTH, ANAMBRA",6.1628156,6.7886562,0,175,2,0
"NKISSI MAGAZINE/OMU ROAD I, ONITSHA-NORTH, ANAMBRA",6.1641501,6.7958974,0,226,3,1
"OPEN SPACE BESIDE 23 OMU ROAD/NIGER DRIVE, ONITSHA-NORTH, ANAMBRA",6.1634574,6.7965732,1,66,42,2
"OMU CRESCENT/OMU ROAD, ONITSHA-NORTH, ANAMBRA",6.1651837,6.7933651,0,197,0,0
"NIGER DRIVE/OMATA II, ONITSHA-NORTH, ANAMBRA",6.1612494,6.7928631,3,102,3,0
"NKISSI MAGAZINE/OMU ROAD II, ONITSHA-NORTH, ANAMBRA",6.1641501,6.7958974,0,147,0,0
"ROCK FOUNDATION III, ONITSHA-NORTH, ANAMBRA",6.1628156,6.7886562,2,141,1,1
"ASESA/RESIDENCY DRIVE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,117,0,0
"INTERNAL REVENUE III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,132,5,0
"D.M.G.S III, ONITSHA-NORTH, ANAMBRA",6.1523539,6.7892226,3,235,3,1
"ONUILO OGBEODOGWU SQUARE, ONITSHA-NORTH, ANAMBRA",6.1544831,6.8083066,2,130,3,0
"10, NEW CEMENTRY ROAD, ONITSHA-NORTH, ANAMBRA",6.1342402,6.8002719,1,120,0,0
"UGWUNOBANKPA/MBA ROAD, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,190,0,0
"OBI CHIMEZIE SQUARE, ONITSHA-NORTH, ANAMBRA",6.1575304,6.7782493,1,187,4,1
"TASIA ROAD PLAYGROUND II, ONITSHA-NORTH, ANAMBRA",6.1528235,6.794054,1,236,3,3
"OGBEABO SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,205,8,0
"OGBEABO SQUARE III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,111,7,0
"UMUIKEM SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1498392,6.7932877,1,177,4,0
"OJIDOKO SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,211,3,0
"PEP SQUARE/OKOSI ROAD, ONITSHA-NORTH, ANAMBRA",6.147131,6.7942335,0,215,10,0
"ILO OBIOKPORO SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,145,1,0
"UMUIKEM SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1498392,6.7932877,0,148,3,0
"ABUTU SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,120,0,2
"ABUTU SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,299,0,0
"ONITSHA NORTH MOTOR PARK, ONITSHA-NORTH, ANAMBRA",6.1472141,6.8049579,0,131,0,0
"INLAND GIRLS SEC. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1391097,6.7984245,3,187,1,0
"INLAND GIRLS SEC. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1391097,6.7984245,1,155,0,0
"OBI OKOSI ROAD/NEW CENTRY, ONITSHA-NORTH, ANAMBRA",6.147131,6.7942335,0,193,3,1
"UPPER IWEKA/OPP. EMERAH, ONITSHA-NORTH, ANAMBRA",6.1406638,6.7843922,0,56,0,0
"TORONTO HOSPITAL OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1353246,6.7947463,1,75,0,1
"LIFE INTERNATIONAL PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,142,4,0
"ILO UMUASE SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,168,0,1
"ILO UMUASE SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,229,2,1
"OBIOZO IMEOBI SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,188,2,0
"OBIOZO IMEOBI SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,193,0,0
"ONUMA IMEOBI SQUARE, ONITSHA-NORTH, ANAMBRA",6.1472637,6.7823785,1,197,4,0
"ONUMA MATERNITY AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,269,3,0
"OGBOLI/OBOLI ROAD PLAY GROUND I, ONITSHA-NORTH, ANAMBRA",6.147328,6.8015637,0,156,0,1
"ILO NGBODO AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,144,2,0
"OBIOZOR IMEOBI, ONITSHA-NORTH, ANAMBRA",6.1530057,6.7922041,1,119,0,0
"OGBOLI/OBOLI ROAD PLAY GROUND II, ONITSHA-NORTH, ANAMBRA",6.147328,6.8015637,1,139,4,0
"OGBOLI PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1486297,6.8037023,6,256,2,1
"OGBOLI PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1486297,6.8037023,0,191,3,1
"ISIOKWE POLICE POST, ONITSHA-NORTH, ANAMBRA",6.1440076,6.8246659,0,284,3,0
"UGWUNOBANKPA/SLAUGHTER I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,158,2,1
"WASHINGTON GRAMMAR SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1480353,6.8051253,0,361,5,0
"WASHINGTON GRAMMAR SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1480353,6.8051253,2,192,3,0
"UGWUNOBANKPA/SLAUGHTER II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,236,5,0
"OGWUGWU/ISIOKWE II, ONITSHA-NORTH, ANAMBRA",6.1461772,6.8075093,1,172,3,0
"EZECHIMA PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1532297,6.8004744,3,299,3,0
"EZECHIMA PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1532297,6.8004744,0,214,2,0
"ADO GUEST HOUSE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,290,0,0
"ACHUKWU LANE I, ONITSHA-NORTH, ANAMBRA",6.147687,6.8102493,0,244,0,0
"ACHUKWU LANE II, ONITSHA-NORTH, ANAMBRA",6.147687,6.8102493,1,209,3,1
"OBELEAGU/CHUKWURAH, ONITSHA-NORTH, ANAMBRA",6.153953,6.8048369,2,324,4,0
"EZECHIMA PRY. SCHOOL IV, ONITSHA-NORTH, ANAMBRA",6.1532297,6.8004744,2,168,2,1
"REDEEM PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,153,1,2
"ENWEONWU/LACEN COMPLEX, ONITSHA-NORTH, ANAMBRA",6.1564917,6.8008504,1,338,3,1
"ADO GIRLS SECONDARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1546008,6.7963863,2,253,2,2
"BORROMEO HOSPITAL AREA1, ONITSHA-NORTH, ANAMBRA",6.1430996,6.8183064,0,355,0,0
"ARMY CHILDREN PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,11,191,5,5
"EKENE DILI CHUKWU GATE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,400,1,2
"CEMETERY/ORAIFITE/PLAY GROUND, ONITSHA-NORTH, ANAMBRA",6.1296844,6.8027097,0,326,1,0
"KOKA PETROLEUM AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,347,1,1
"MAMMY MARKET I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,8,108,4,11
"AWKA ROAD/ANYAEJI JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1512446,6.8022263,4,254,0,2
"EZEIWEKA ROAD/PLAY GROUND, ONITSHA-NORTH, ANAMBRA",6.1197008,6.8073844,0,415,0,0
"NIGERIAN MIRROR AREA, ONITSHA-NORTH, ANAMBRA",6.1771415,6.7828626,0,76,2,0
"MAMMY MARKET III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,6,102,4,11
"IHIONU/NSUGBE STREET AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,574,2,1
"BORROMEO HOSPITAL AREA, ONITSHA-NORTH, ANAMBRA",6.1430996,6.8183064,0,249,1,2
"OMAGBA PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1483182,6.8140805,0,419,3,0
"NIGER HERITAGE HEIGHS, ONITSHA-NORTH, ANAMBRA",6.1510336,6.8162413,0,197,3,1
"LAKE PETROLEUM AREA, ONITSHA-NORTH, ANAMBRA",6.1164138,6.7917435,1,113,0,0
"ENUGWU AGIDI STREET OSUMENYI, ONITSHA-NORTH, ANAMBRA",6.1513431,6.8183537,1,361,4,1
"UKEH STREET AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,468,1,0
"NEW ERA SECONDARY SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1536729,6.8128437,0,257,2,0
"AGBAKOBA/IZUORA CLUB I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,3,133,3,0
"ANGLICAN GIRLS SECONDARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,316,1,0
"UFUMA/ABA ST. JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1552571,6.8207343,0,361,0,0
"OFONZE SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,570,0,1
"HERITAGE AVENUE PLAY GROUND I, ONITSHA-NORTH, ANAMBRA",6.1483117,6.8165235,0,226,2,0
"IFITEDUNU/AWKUZU STREET JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,244,0,2
"OMAGBA PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1483182,6.8140805,1,168,3,0
"NEW ERA SECONDARY SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1536729,6.8128437,0,207,1,0
"AGBAKOBA/IZUORA CLUB II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,156,1,1
"OFONZE SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,325,1,2
"ONITSHA BOYS HIGH SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1771415,6.7828626,0,116,2,0
"ONITSHA BOYS HIGH SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1771415,6.7828626,3,132,1,0
"ONITSHA BOYS HIGH SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.1771415,6.7828626,0,159,2,1
"OBI ANAZONWU PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1542912,6.786778,1,301,3,3
"OBI ANAZONWU PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1542912,6.786778,2,124,0,0
"OBI ANAZONWU PRY. SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.1542912,6.786778,0,153,1,0
"I, EGERTON STREET, ONITSHA-NORTH, ANAMBRA",6.1583162,6.7805749,4,311,6,0
"EMEJULU/OBI STREET I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,5,204,3,2
"JAMES STREET PLAY GROUND, ONITSHA-NORTH, ANAMBRA",6.156928,6.7780666,0,147,0,0
"MARTIN/EGBUNA PLAY GROUND I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,113,0,0
"ONITSHA BOYS HIGH SCHOOL IV, ONITSHA-NORTH, ANAMBRA",6.1771415,6.7828626,0,167,1,0
"MBANUGO OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1578759,6.7789579,1,161,1,0
"IWEOBI OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,92,3,1
"EMEJULU/OBI STREET II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,134,4,2
"MARTIN/EGBUNA/PLAY GROUND II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,4,124,3,2
"AKPAKA PRIMARY SCHOOL II , ONITSHA-NORTH, ANAMBRA",6.1730161,6.787368,0,338,0,0
"ST. THERESA'S MBA FARM, ONITSHA-NORTH, ANAMBRA",6.1862198,6.801723,0,492,0,0
"OLD MARINE QUARTERS II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,100,0,0
"ST. THERESA'S, ONITSHA-NORTH, ANAMBRA",6.1862198,6.801723,1,306,3,0
"OLD MARINE QUARTERS III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,122,1,0
"OYOLU AREA, ONITSHA-NORTH, ANAMBRA",6.1890617,6.8056004,0,523,0,0
"FEDERAL HOUSING ESTATE II, ONITSHA-NORTH, ANAMBRA",6.1733744,6.7896358,0,460,2,0
"OREZE PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,141,3,0
"OREZE PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,112,2,0
"OGALONYE/NUOKEDI OPEN SPACE I, ONITSHA-NORTH, ANAMBRA",6.1525408,6.7783687,1,101,3,0
"16, AFFAR STREET PLAYGROUND, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,114,1,0
"OPEN SPACE BESIDE OREZE SQUARE I (CHRIST CHURCH), ONITSHA-NORTH, ANAMBRA",6.1544571,6.7759594,0,173,0,2
"ILO ORAJA SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,61,2,0
"20, FRANCIS/AFFAR STREET, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,95,4,0
"OREZE PRY. SCHOOL IV, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,106,4,0
"OPEN SPACE BESIDE OREZE SQUARE II (CHRIST CHURCH), ONITSHA-NORTH, ANAMBRA",6.1544571,6.7759594,0,189,4,0
"Y.W.C.A I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,3,95,2,0
"Y.W.C.A II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,63,2,0
"G.P.O II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,164,4,0
"EZENWA/FRANCIS OPEN SPACE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,204,3,1
"JUBILEE HOTEL OPEN SPACE I, ONITSHA-NORTH, ANAMBRA",6.1488944,6.7837925,2,136,2,0
"1 IBOKU/NEW MARKET ROAD I, ONITSHA-NORTH, ANAMBRA",6.1487731,6.7833545,2,166,1,0
"Y.W.C.A III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,4,107,1,0
"G.P.O. III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,3,90,0,0
"OUR LADY'S HIGH SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1391981,6.7878836,1,257,4,0
"MENAX FIELD I, ONITSHA-NORTH, ANAMBRA",6.1430508,6.8204709,0,113,0,0
"MENAX FIELD I, ONITSHA-NORTH, ANAMBRA",6.1430508,6.8204709,0,103,0,0
"WOLIWO PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1380096,6.790729,2,186,6,2
"WOLIWO PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1380096,6.790729,0,162,2,2
"WOLIWO PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1380096,6.790729,0,148,3,0
"CHIEMEZIE MOTORS OPEN SPACE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,110,1,0
"UPPER IWEKA SQUARE, ONITSHA-NORTH, ANAMBRA",6.1406638,6.7843922,1,125,1,0
"OPEN SPACE BESIDE 4 TAGBO STREET, OPEN SPACE I , ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,116,2,1
"OPEN SPACE BESIDE 4 TAGBO STREET, OPEN SPACE I , ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,85,2,0
"WOLIWO PRY. SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.1380096,6.790729,1,109,0,1
"RAPHMATIC ACADEMY, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,68,3,0
"WOLIWO PRY. SCHOOL IV, ONITSHA-NORTH, ANAMBRA",6.1380096,6.790729,0,190,0,0
"WOLIWO PRY. SCHOOL IV, ONITSHA -SOUTH, ANAMBRA",6.1380096,6.790729,0,172,1,0
"HOUSING ESTATE PLAY GROUND III, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,0,172,1,0
"FEGGE PAY OFFICE I, ONITSHA -SOUTH, ANAMBRA",6.1389831,6.7788461,0,187,1,1
"FEGGE PAY OFFICE III, ONITSHA -SOUTH, ANAMBRA",6.1389831,6.7788461,3,173,0,0
"FEGGE PAY OFFICE IV, ONITSHA -SOUTH, ANAMBRA",6.1389831,6.7788461,2,109,1,0
"FEGGE PAY OFFICE IV, ONITSHA -SOUTH, ANAMBRA",6.1389831,6.7788461,2,212,1,0
"UGBORIMILI PRY. SCHOOL I, ONITSHA -SOUTH, ANAMBRA",6.1307134,6.7818585,0,241,2,1
"UGBORIMILI PRY. SCHOOL II, ONITSHA -SOUTH, ANAMBRA",6.1307134,6.7818585,0,250,5,0
"UGBORIMILI PRY. SCHOOL IV, ONITSHA -SOUTH, ANAMBRA",6.1307134,6.7818585,0,198,6,0
"UGBORIMILI PRY. SCHOOL V, ONITSHA -SOUTH, ANAMBRA",6.1307134,6.7818585,1,220,2,2
"UGBORIMILI PRY. SCHOOL V, ONITSHA -SOUTH, ANAMBRA",6.1307134,6.7818585,0,196,0,0
"2/3 AKPO STREET II, ONITSHA -SOUTH, ANAMBRA",6.1312862,6.7860956,1,223,3,0
"2/3 AKPO STREET II, ONITSHA -SOUTH, ANAMBRA",6.1312862,6.7860956,0,190,3,0
"2/3 AKPO STREET IV, ONITSHA -SOUTH, ANAMBRA",6.1312862,6.7860956,0,231,2,1
"AKOKWA HALL I, ONITSHA -SOUTH, ANAMBRA",6.1460361,6.818718,0,0,0,0
"AKOKWA HALL I, ONITSHA -SOUTH, ANAMBRA",6.1460361,6.818718,1,247,1,4
"AGULU HALL I, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,1,300,1,1
"AGULU HALL I, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,3,311,1,2
"TOWNSHIP PRY. SCHOOL I, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,1,365,0,1
"TOWNSHIP PRY. SCHOOL II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,0,277,1,0
"9, ZIKS AVENUE I, ONITSHA -SOUTH, ANAMBRA",6.1377834,6.776049,0,231,2,0
"9, ZIKS AVENUE II, ONITSHA -SOUTH, ANAMBRA",6.1377834,6.776049,1,160,0,1
"14, UDI STREET II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,1,206,2,0
"BATA SQUARE II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,0,70,0,1
"LAFIAJI PRY. SCHOOL I, ONITSHA -SOUTH, ANAMBRA",6.1357863,6.7777583,0,325,1,9
"ORAIFITE HALL I, ONITSHA -SOUTH, ANAMBRA",6.1460361,6.818718,1,209,0,0
"ORAIFITE HALL II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,0,185,1,2
"ORAIFITE HALL II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,1,204,1,0
"BISHOP SHANAHAN II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,1,214,1,0
"3, LAGOS STREET I, ONITSHA -SOUTH, ANAMBRA",6.1381882,6.7770916,0,232,1,0
"3, LAGOS STREET II, ONITSHA -SOUTH, ANAMBRA",6.1381882,6.7770916,1,169,1,1
"5, MAIFULANI STREET I, ONITSHA -SOUTH, ANAMBRA",6.1372855,6.7758993,0,142,2,0
"5, MAIFULANI STREET II, ONITSHA -SOUTH, ANAMBRA",6.1372855,6.7758993,0,199,0,0
"5, MAIFULANI STREET II, ONITSHA -SOUTH, ANAMBRA",6.1372855,6.7758993,0,115,1,1
"AGAI PRY. SCHOOL I, ONITSHA -SOUTH, ANAMBRA",6.1346981,6.772167,0,208,4,0
"AGAI PRY. SCHOOL II, ONITSHA -SOUTH, ANAMBRA",6.1346981,6.772167,0,200,0,0
"OSINA HALL I, ONITSHA -SOUTH, ANAMBRA",6.1460361,6.818718,3,173,0,0
"OSINA HALL II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,2,152,0,0
"AMICHI HALL I, ONITSHA -SOUTH, ANAMBRA",6.1460361,6.818718,0,266,1,0
"PLAY GROUND I, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,1,200,0,0
"PLAY GROUND II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,0,233,5,3
"PLAY GROUND II, ONITSHA -SOUTH, ANAMBRA",6.1363826,6.7761686,7,103,2,0
"4, PORT HARCOURT ROAD II, ONITSHA -SOUTH, ANAMBRA",6.1328039,6.7759869,1,122,0,2
"70, PORT HARCOURT ROAD I, ONITSHA -SOUTH, ANAMBRA",6.1330091,6.773429,0,175,0,0
"ZIK'S AVENUE PRY. SCHOOL I, ONITSHA -SOUTH, ANAMBRA",6.1377579,6.7765633,0,188,1,1
